random_state,cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
104,24,190,1.9,43.9,51.27578947368422,41.8,56.5,1.6,1.5999999999999996,1.6,1.6,1.6,1.5999999999999996,1.6,1.6,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,9.294221855956884,9.231542702253321,8.884682246701677,9.558381148538478,7.871273049218974,7.962015706277956,7.833283216208774,8.067210163930692,10874.0,10978.812631578945,7219.525000000001,14161.9,2619.9,2916.5589473684213,2522.2,3187.2,f,100.0,casa_aislada,100.0,casa_aislada | f | sup_mediana 44 m2 | calef: 10874 kWh | acs: 2620 kWh
104,25,246,2.46,53.4,52.65162601626016,47.6,55.0,1.7,1.6999999999999993,1.7,1.7,1.7,1.6999999999999993,1.7,1.7,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,7.900683501513899,7.801708412225602,7.31687272036241,8.321469880459167,7.838796387445337,7.8060920590929115,7.7788394180182125,7.883031643204163,2698.15,3120.743902439024,1504.5,4110.2,2536.1499999999996,2495.089430894309,2388.5,2650.9,d,100.0,depto,100.0,depto | d | sup_mediana 53 m2 | calef: 2698 kWh | acs: 2536 kWh
104,26,331,3.3099999999999996,83.2,86.41903323262841,63.1,105.2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,9.521172404326663,9.552563480732278,9.313368301705033,9.865645163444992,8.189272287704782,8.167821019460192,7.9991750970687425,8.319790483594177,13644.6,15506.844712990935,11084.25,19256.35,3601.1,3591.2247734138978,2977.5,4103.3,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 83 m2 | calef: 13645 kWh | acs: 3601 kWh
104,27,112,1.1199999999999999,77.8,79.01964285714287,74.9,92.175,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.98824099959295,8.959361087778717,8.564343090558168,9.294983162761142,8.131901948617529,7.911047692199921,7.886419690414352,8.249993253905108,8007.4,8647.231249999999,5246.35,10882.45,3400.5,2988.0955357142857,2659.9,3826.6,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 78 m2 | calef: 8007 kWh | acs: 3400 kWh
104,28,234,2.34,45.7,43.40897435897436,38.0,52.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,8.141553564537114,8.05079614387881,7.652546518882932,8.389000917204237,7.918863405754651,7.883671624329371,7.791109510610028,8.039737867125353,3433.25,3629.9756410256414,2105.025,4397.425,2747.65,2711.10811965812,2418.0,3100.8,g,100.0,depto,100.0,depto | g | sup_mediana 46 m2 | calef: 3433 kWh | acs: 2748 kWh
104,29,98,0.98,49.8,49.973469387755095,48.6,52.2,1.1,1.0999999999999996,1.1,1.1,1.1,1.0999999999999996,1.1,1.1,0.28,0.28000000000000014,0.28,0.28,0.28,0.28000000000000014,0.28,0.28,8.277994357566637,8.28124031382726,7.997129664464505,8.65914231837489,8.00446576036065,7.7520508317931665,7.982416346827733,8.039737867125353,3935.3,4419.99387755102,2971.5,5761.675,2993.3,2846.0377551020415,2928.0,3100.8,g,100.0,depto,100.0,depto | g | sup_mediana 50 m2 | calef: 3935 kWh | acs: 2993 kWh
104,30,679,6.79,52.8,53.98571428571429,45.7,58.7,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,8.809534393248741,8.797976675274807,8.580383922255606,9.04200882413936,7.84842637958167,7.8300459152723,7.741881052801655,7.946440619069898,6696.8,7221.894845360825,5325.15,8449.75,2560.7,2568.0250368188513,2301.8,2824.5,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 53 m2 | calef: 6697 kWh | acs: 2561 kWh
104,31,78,0.7799999999999999,59.5,63.40641025641027,54.4,72.6,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,7.989981917152987,8.038761206061196,7.750539044684627,8.299373991733322,6.701347014629066,6.644765906524379,6.47095429056412,6.84609261859003,2950.25,3309.139743589743,2321.825,4021.675,812.7,787.5820512820513,645.1,939.2,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 60 m2 | calef: 2950 kWh | acs: 813 kWh
104,32,51,0.51,81.7,80.58627450980391,78.2,81.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,8.940327934655079,8.929206936604682,8.823634599635788,9.0572323274767,8.177094386739325,8.167864344096794,8.148561333353422,8.177094386739325,7632.7,7632.713725490196,6792.0,8579.85,3557.5,3525.356862745098,3457.4,3557.5,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 82 m2 | calef: 7633 kWh | acs: 3558 kWh
104,33,103,1.03,47.0,47.0,47.0,47.0,1.7,1.6999999999999988,1.7,1.7,1.7,1.6999999999999988,1.7,1.7,0.38,0.38000000000000017,0.38,0.38,0.38,0.38000000000000017,0.38,0.38,8.54944738694557,8.63813897934685,8.45440148753646,8.854305133435794,7.775989577440603,7.775989577440599,7.775989577440603,7.775989577440603,5162.9,5766.387378640776,4694.700000000001,7003.5,2381.7,2381.700000000001,2381.7,2381.7,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 47 m2 | calef: 5163 kWh | acs: 2382 kWh
