version,variables_sistemas,n_usado,clusters_sin_ruido,n_ruido,pct_ruido,silhouette_global,silhouette_cluster_mediana,tam_cluster_mediana,tam_cluster_max
v1_descripciones,descripcion texto,10000,62,4300,43.0,0.738419983485559,0.8615515028627799,82.0,217
v2_kwh_log,calef_proyec_kwh + acs_proyec_kwh log1p,10000,33,602,6.02,0.6886233529267028,0.7404384605241793,167.0,3354
