variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
superficie_util,10000,51.775890000000004,49.6,17.488226597195368,17.3,43.7,55.725,312.1,0.3377677640537974
u_norm_muro_principal,9983,2.0670539917860364,1.9,0.7657197881856502,0.6,1.7,1.9,4.0,0.3704401487471697
u_norm_muro_secundario,9983,2.0670539917860364,1.9,0.7657197881856502,0.6,1.7,1.9,4.0,0.3704401487471697
u_norm_techo_principal,9983,0.46133226485024537,0.47,0.1635888702234322,0.0,0.38,0.47,0.84,0.35460097350124714
u_norm_techo_secundario,9983,0.46133226485024537,0.47,0.1635888702234322,0.0,0.38,0.47,0.84,0.35460097350124714
log_calef_proyec_kwh,10000,7.793845138172902,8.22900431108588,1.8366661426195627,0.0,7.28411761172294,8.892061625263445,10.728204515520709,0.23565597084087422
log_acs_proyec_kwh,9996,7.6513942592758175,7.870738735933578,1.4180708608452914,0.0,7.7494301610391325,8.00450750285962,12.603507598068074,0.1853349615498062
