cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
-1,602,6.02,56.9,63.32259136212624,49.0,72.2,1.7,2.498974358974359,1.7,4.0,1.7,2.498974358974359,1.7,4.0,0.38,0.42290598290598286,0.28,0.6,0.38,0.42290598290598286,0.28,0.6,8.783034307601167,7.736824378944607,7.276773057486167,9.391000998371462,7.9919305198524775,7.315324825020935,7.764220980066558,8.177094386739325,6521.65,7213.472591362126,1445.5,11979.1,2956.0,3546.0433554817278,2353.825,3557.5,d,45.68106312292359,casa_pareada,52.159468438538205,ruido / observacion atipica
10,224,2.2399999999999998,49.9,51.034821428571426,49.4,53.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.5999999999999999,0.6,0.6,0.6,0.5999999999999999,0.6,0.6,8.471436722684672,8.329364576770814,8.004304724102626,8.742173016337498,7.822685085216951,7.837395054723193,7.814803429489359,7.882050733142866,4775.4,4883.617857142858,2992.825,6260.5,2495.6,2537.5683035714287,2476.0,2648.3,d,100.0,depto,100.0,depto | d | sup_mediana 50 m2 | calef: 4775 kWh | acs: 2496 kWh
11,163,1.63,48.3,51.105521472392645,47.0,54.5,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,8.92435020078527,8.816550473814479,8.554026144187432,9.12303794831135,7.885592560507808,7.889902143376393,7.838422176800799,7.9976631270201,7511.7,7377.9300613496935,5186.6,9163.0,2657.7,2727.303680981595,2535.2,2973.0,e,100.0,casa_pareada,100.0,casa_pareada | e | sup_mediana 48 m2 | calef: 7512 kWh | acs: 2658 kWh
12,223,2.23,38.6,38.69282511210762,29.950000000000003,45.4,1.9,1.8973094170403586,1.9,1.9,1.9,1.8973094170403586,1.9,1.9,0.47,0.4687892376681613,0.47,0.47,0.47,0.4687892376681613,0.47,0.47,5.778889947143006,6.029468370450327,5.053971175982273,6.8958777641028615,0.0,0.0,0.0,0.0,322.4,816.3955156950673,155.64999999999998,987.45,0.0,0.0,0.0,0.0,d,100.0,depto,100.0,depto | d | sup_mediana 39 m2 | calef: 322 kWh | acs: 0 kWh
13,419,4.19,51.0,49.68615751789976,44.1,57.8,1.7,1.6999999999999993,1.7,1.7,1.7,1.6999999999999993,1.7,1.7,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,7.7417073361331035,7.435532696089363,7.0140914303055935,8.373359275139652,7.957947335047694,7.942319843574302,7.841139088282469,8.044080734770414,2301.4,3085.2689737470164,1111.1999999999998,4329.25,2857.2,2970.6071599045345,2542.1,3114.3,e,100.0,depto,100.0,depto | e | sup_mediana 51 m2 | calef: 2301 kWh | acs: 2857 kWh
14,180,1.7999999999999998,48.3,59.63333333333333,46.775,64.9,1.7,1.6999999999999993,1.7,1.7,1.7,1.6999999999999993,1.7,1.7,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,9.4098854416962,9.350257006825114,9.156392691948717,9.544774819428964,7.907982665728846,8.018059877917224,7.881860016752074,8.129150514599601,12207.5,11936.558333333332,9473.95,13970.5,2717.9,3111.210555555556,2647.85,3391.075,e,100.0,casa_aislada,100.0,casa_aislada | e | sup_mediana 48 m2 | calef: 12208 kWh | acs: 2718 kWh
15,281,2.81,46.2,49.51779359430605,46.1,52.0,1.7,1.6999999999999997,1.7,1.7,1.7,1.6999999999999997,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,9.153367823215191,9.030744947691671,8.823000013726565,9.255571830505108,7.912313265567924,7.949152905658742,7.9107373366349965,8.004064918587572,9445.2,9061.589323843415,6787.6,10461.7,2729.7,2849.625622775801,2725.4,2992.1,f,100.0,casa_pareada,100.0,casa_pareada | f | sup_mediana 46 m2 | calef: 9445 kWh | acs: 2730 kWh
16,75,0.75,51.1,51.61333333333334,50.0,54.0,1.6,1.5999999999999996,1.6,1.6,1.6,1.5999999999999996,1.6,1.6,0.33,0.32999999999999996,0.33,0.33,0.33,0.32999999999999996,0.33,0.33,9.21890360263667,9.183620418707243,9.098227168781081,9.2793629624199,7.9913554475297435,7.998010866139642,7.974085393729522,8.03378816322624,10085.0,9905.666666666668,8938.45,10713.65,2954.3,2976.0826666666667,2903.7,3082.4,f,100.0,casa_pareada,100.0,casa_pareada | f | sup_mediana 51 m2 | calef: 10085 kWh | acs: 2954 kWh
17,104,1.04,77.8,79.77884615384616,74.9,93.4,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.939619347422653,8.885920202572208,8.396188722320016,9.252656722589233,8.048500702250562,7.785963022278936,7.080026499922591,8.184793900967207,7627.3,8239.350000000002,4429.15,10431.275000000001,3128.1,2735.0048076923076,1187.0,3585.325,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 78 m2 | calef: 7627 kWh | acs: 3128 kWh
18,332,3.32,81.1,84.7578313253012,63.1,97.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999999,0.47,0.47,0.47,0.4699999999999999,0.47,0.47,9.467658480568218,9.490087654860009,9.26306017499207,9.726677898281846,8.172192692323142,8.158129116153917,7.9991750970687425,8.280026352843096,12933.6,14436.357228915664,10540.375,16757.8,3540.1,3550.4412650602408,2977.5,3943.2999999999997,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 81 m2 | calef: 12934 kWh | acs: 3540 kWh
19,159,1.59,53.4,61.4874213836478,49.65,75.2,1.7,1.699999999999999,1.7,1.7,1.7,1.699999999999999,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,9.40150603742403,9.241219592456845,8.9490427662593,9.783359524270205,7.99930938383834,8.01999137694282,7.937303265040725,8.219257279108174,12105.6,12429.968553459117,7699.950000000001,17735.15,2977.9,3182.50251572327,2798.8,3710.75,f,100.0,casa_aislada,100.0,casa_aislada | f | sup_mediana 53 m2 | calef: 12106 kWh | acs: 2978 kWh
