cluster_hdbscan,n,silhouette_media,silhouette_mediana,silhouette_min,silhouette_p25,silhouette_p75,silhouette_max,pct_silhouette_negativo
0,97,0.52055860271813,0.5087797954566272,0.20406530287634267,0.4431542877728893,0.6396440108887264,0.6398374060178326,0.0
1,148,0.49892586042276854,0.6429264611276958,0.10203551778678256,0.20366880968562384,0.665986279922765,0.6743145733258915,0.0
2,236,0.825875241617088,0.8574614176878614,0.3287608780000113,0.8298674363787272,0.8755071645266783,0.8890252996023192,0.0
3,71,0.9319944472708368,0.9362835906941767,0.8544996925556444,0.9248757820143854,0.9457664436411869,0.9495696836314035,0.0
4,258,0.6852765266699076,0.7728097779117175,-0.37043298977996403,0.711936167648147,0.7938129341508467,0.8125209126506725,3.488372093023256
5,169,0.9080069762907712,0.9208165791124683,0.6948116113541464,0.8962556570764021,0.9286958094706136,0.9333969590701671,0.0
6,123,0.7722129924726159,0.8039977570088671,0.47815536956842114,0.7639560077901391,0.822578703758591,0.838233691757345,0.0
7,93,0.5125341959588118,0.5733945317508239,0.2855445198614315,0.4340739640031088,0.5929404133679417,0.598869455493272,0.0
8,80,0.5326927238279195,0.49810655922208136,0.447007085903759,0.48590613647486647,0.5812009014499586,0.6035655721452865,0.0
9,239,0.7404384605241793,0.7707994010352534,0.4960803344109935,0.7333555644427066,0.7922475994940505,0.8051742675126672,0.0
10,224,0.927588187095095,0.9343067588687453,0.7031384145546522,0.9208250384143732,0.943743079119292,0.9490287405713593,0.0
11,163,0.917619961157321,0.9311440224766269,0.7771743428670004,0.9078763558167444,0.9385961538873064,0.9415323141647417,0.0
12,223,0.7999413820000231,0.8285989260703754,0.4374865159113923,0.786946784783829,0.8394658248890318,0.8542030627021051,0.0
13,419,0.8259290760098182,0.8394683226004813,0.5431203841802548,0.8135156487711784,0.8615089698363938,0.8731820622155984,0.0
14,180,0.8970989389060122,0.9175763875477547,0.7582626124063153,0.8849285860570919,0.9274298112907804,0.9296975220246528,0.0
15,281,0.6998598500321559,0.7199758591059936,0.455088477135207,0.6693588378033807,0.758231780359627,0.7721137676825258,0.0
16,75,0.8702679691966946,0.8866623486722538,0.6805085305933235,0.863126803872335,0.8994202788791142,0.9008859409650288,0.0
17,104,0.69239350671457,0.7063705445334976,0.5593935670776914,0.6690166034078747,0.7180078318107449,0.7577567682115135,0.0
18,332,0.7056079195155762,0.7272251845964555,0.4797412246057737,0.6789770625306978,0.7503267897640518,0.7638396101964141,0.0
19,159,0.5371803552137098,0.550209415665138,0.36760562417638637,0.5262047850938338,0.577767851869925,0.6078286554638197,0.0
20,219,0.6803844693349178,0.7109470359685344,0.38197004586286887,0.6601822673014864,0.732620158191311,0.7513124588996263,0.0
21,167,0.619778463007296,0.6382563985577518,0.3815352536133521,0.5861580097616027,0.6709283314909786,0.6930809679565613,0.0
22,196,0.6675726861601233,0.6945297776762012,0.42508260663562003,0.6206086308918435,0.7215249526277165,0.7497727970560714,0.0
23,56,0.9071210515580029,0.9343380241529404,0.5938042608568489,0.9272271590770536,0.9368207227103275,0.9380637766000974,0.0
24,119,0.9101056818120855,0.9295693711275712,0.536421901876084,0.9243427935515911,0.9319992097017612,0.9353899575427135,0.0
25,3354,0.5932735649481168,0.6108023589025184,0.258020711207457,0.5706825334347478,0.6404456013997193,0.6673158346351047,0.0
26,255,0.7630935844631963,0.7825854474158368,0.5213553835970406,0.7414918229957528,0.7983327418951273,0.8176717361833813,0.0
27,714,0.7572783053779208,0.7761359524334346,0.4120274685702071,0.7362388933629052,0.7987123260589264,0.824053502595155,0.0
28,93,0.8067963402401934,0.8296996737199651,0.5144898684538882,0.7978901459584677,0.8546106194045022,0.86384571923016,0.0
29,219,0.803257645172246,0.8130695503087156,0.6638303237779146,0.7825346216924233,0.832187382488073,0.8450596175840853,0.0
30,60,0.5651325916684499,0.5750252941933838,-0.029323917612830007,0.5513848037382741,0.6229778218119055,0.6726408452440747,1.6666666666666667
31,112,0.7224532956772739,0.7681303443041527,0.558892156937183,0.6538117271693976,0.7854434044922907,0.7903303717088677,0.0
32,160,0.3971636773442523,0.46475977128806056,-0.3268325470215599,0.4391437837437315,0.5369943117987028,0.5865255600715564,13.750000000000002
