document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
a8efbb2023,47.0,d,casa_pareada,4966.2,2381.7,1.7,1.7,0.38,0.38,8.510611580050684,7.775989577440603,31,0.7675488315176554,False
6ac2a72020,49.5,d,casa_pareada,5367.4,2482.4,1.0,1.0,0.0,0.0,8.588285191523651,7.817383867982742,7,0.13190624023530576,False
e1c2312020,46.0,g,casa_pareada,8872.5,2811.2,1.6,1.6,0.33,0.33,9.09082458597462,7.941722374156716,-1,0.0,True
cd01072023,44.5,f,casa_aislada,6936.9,2649.9,1.7,1.7,0.38,0.38,8.84475441405021,7.882654483963062,19,0.833082465611846,False
aa16bb2024,57.8,d,depto,6094.6,2790.9,1.9,1.9,0.47,0.47,8.715322478415706,7.934477646621922,25,1.0,False
8214452025,42.6,d,depto,3459.4,6726.2,1.9,1.9,0.47,0.47,8.149139468306219,8.813914288518689,25,0.3705368492217796,False
85f5bd2026,49.4,d,depto,1590.9,2476.0,3.0,3.0,0.6,0.6,7.37268355036109,7.814803429489359,10,0.36469639680456145,False
028ed32026,32.9,d,depto,1562.2,1398.9,1.9,1.9,0.47,0.47,7.354490281288518,7.24415608448078,25,1.0,False
0fbfe02025,32.6,e,depto,1134.8,1969.0,1.7,1.7,0.38,0.38,7.035092527443332,7.585788821732034,13,0.4556902819857858,False
9302562025,43.7,d,depto,195.0,2405.8,1.9,1.9,0.47,0.47,5.278114659230518,7.786053343346197,25,0.5177769139461915,False
037cea2019,48.1,g,depto,3024.5,2911.0,1.1,1.1,0.28,0.28,8.014831646062376,7.976595409316577,28,1.0,False
c23c742023,48.3,a,depto,0.0,2806.0,4.0,4.0,0.84,0.84,0.0,7.939871576361883,5,0.4707410372574781,False
25192b2022,30.1,e,depto,127.3,4261.5,1.0,1.0,0.0,0.0,4.8543712716215905,8.357611121591772,-1,0.0,True
0708912021,54.5,a,depto,1959.8,2546.6,4.0,4.0,0.84,0.84,7.5811078322139025,7.84290701849721,4,0.6754948782285816,False
6d574a2024,20.5,e,depto,1016.9,1310.0,1.7,1.7,0.38,0.38,6.925496960458294,7.1785454837637,13,0.24966172936804898,False
f385a32026,28.4,d,depto,843.1,1236.1,1.9,1.9,0.47,0.47,6.738270970989674,7.120525209868786,25,1.0,False
160b922024,54.1,d,depto,6316.9,2784.5,1.9,1.9,0.47,0.47,8.751142153443164,7.93218266946087,25,1.0,False
92b9e32022,39.2,f,casa_aislada,14941.8,2390.7,1.6,1.6,0.33,0.33,9.611984857458555,7.779759689144819,20,1.0,False
e3d60c2023,31.1,d,depto,124.1,0.0,1.9,1.9,0.47,0.47,4.829113417472866,0.0,12,1.0,False
2471f42024,26.3,d,depto,2584.8,1154.4,1.9,1.9,0.47,0.47,7.857790216820453,7.052201883347165,25,0.8103258860742744,False
