cluster_hdbscan,variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
-1,superficie_util,602,63.32259136212624,56.9,28.295304336878893,27.8,49.0,72.2,312.1,0.446843752414759
-1,u_norm_muro_principal,585,2.4989743589743587,1.7,1.132368853435939,1.0,1.7,4.0,4.0,0.45313344227377006
-1,u_norm_muro_secundario,585,2.4989743589743587,1.7,1.132368853435939,1.0,1.7,4.0,4.0,0.45313344227377006
-1,u_norm_techo_principal,585,0.42290598290598286,0.38,0.27726297982469067,0.0,0.28,0.6,0.84,0.6556137558506228
-1,u_norm_techo_secundario,585,0.42290598290598286,0.38,0.27726297982469067,0.0,0.28,0.6,0.84,0.6556137558506228
-1,log_calef_proyec_kwh,602,7.736824378944607,8.783034307601167,2.546981459560062,0.0,7.276773057486167,9.391000998371462,10.728204515520709,0.329202439503674
-1,log_acs_proyec_kwh,602,7.315324825020935,7.9919305198524775,2.41599718312964,0.0,7.764220980066558,8.177094386739325,10.581848452866199,0.3302651954518952
0,superficie_util,97,56.355670103092784,56.5,4.527461785964372,32.3,52.3,58.6,67.5,0.0803372895341707
0,u_norm_muro_principal,97,0.5999999999999999,0.6,1.1159904557703048e-16,0.6,0.6,0.6,0.6,1.8599840929505085e-16
0,u_norm_muro_secundario,97,0.5999999999999999,0.6,1.1159904557703048e-16,0.6,0.6,0.6,0.6,1.8599840929505085e-16
0,u_norm_techo_principal,97,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0
0,u_norm_techo_secundario,97,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0
0,log_calef_proyec_kwh,97,8.626343923841151,9.727656884272536,2.834955273080458,2.4423470353692043,8.789050713521046,10.410172616001205,10.65119867308644,0.3286392587762841
0,log_acs_proyec_kwh,97,8.196435534828144,8.227108234348146,0.09660152115127743,7.671919946777362,8.167777549159096,8.253383883376012,8.35610852698605,0.011785796489315388
1,superficie_util,148,48.86621621621621,50.2,4.366906376357443,31.7,46.075,51.6,58.0,0.08936452859446664
1,u_norm_muro_principal,148,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
1,u_norm_muro_secundario,148,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
1,u_norm_techo_principal,148,0.8400000000000001,0.84,1.1139928929424332e-16,0.84,0.84,0.84,0.84,1.3261820154076585e-16
1,u_norm_techo_secundario,148,0.8400000000000001,0.84,1.1139928929424332e-16,0.84,0.84,0.84,0.84,1.3261820154076585e-16
1,log_calef_proyec_kwh,148,6.981832306090966,7.485092459484406,1.9633002245091977,0.0,6.91045164052988,7.87558768803907,9.482670199473292,0.2812012862005308
1,log_acs_proyec_kwh,148,8.008735531414377,8.038065720929644,0.08265519563116397,7.657944199909279,7.961326245804711,8.059307838360741,8.143081390966069,0.010320629930523715
2,superficie_util,236,50.89745762711864,51.0,8.783988934074404,27.5,47.9,53.3,83.8,0.1725820766614129
2,u_norm_muro_principal,236,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
2,u_norm_muro_secundario,236,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
2,u_norm_techo_principal,236,0.8400000000000001,0.84,1.1125826936519468e-16,0.84,0.84,0.84,0.84,1.324503206728508e-16
2,u_norm_techo_secundario,236,0.8400000000000001,0.84,1.1125826936519468e-16,0.84,0.84,0.84,0.84,1.324503206728508e-16
2,log_calef_proyec_kwh,236,6.732685284840569,7.205207085270279,1.793714865221925,0.0,6.596567339572351,7.680892839493133,9.234535299766407,0.26641893825940216
2,log_acs_proyec_kwh,236,7.892388707070324,7.907982665728846,0.21542026550945725,7.159136371707587,7.844797391061453,7.941686814175914,8.911893904077214,0.027294685234709105
3,superficie_util,71,51.45352112676057,53.1,7.578688747984904,36.5,47.4,53.1,79.3,0.14729193614007668
3,u_norm_muro_principal,71,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
3,u_norm_muro_secundario,71,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
3,u_norm_techo_principal,71,0.8400000000000003,0.84,3.354375202747693e-16,0.84,0.84,0.84,0.84,3.9933038127948713e-16
3,u_norm_techo_secundario,71,0.8400000000000003,0.84,3.354375202747693e-16,0.84,0.84,0.84,0.84,3.9933038127948713e-16
3,log_calef_proyec_kwh,71,8.322167320369156,8.306175819899869,0.4335316422043939,7.513491002531113,7.964538173927206,8.596604930797742,9.368215535865211,0.052093598399937394
3,log_acs_proyec_kwh,71,7.905313479525122,7.939693434382254,0.1094406553510711,7.640411592636795,7.851077349907323,7.939693434382254,8.225610186879507,0.013843936187290231
4,superficie_util,258,54.09961240310078,55.0,5.086822053507268,39.9,51.05,56.875,79.1,0.09402695929880102
4,u_norm_muro_principal,258,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
4,u_norm_muro_secundario,258,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
4,u_norm_techo_principal,258,0.84,0.84,0.0,0.84,0.84,0.84,0.84,0.0
4,u_norm_techo_secundario,258,0.84,0.84,0.0,0.84,0.84,0.84,0.84,0.0
4,log_calef_proyec_kwh,258,6.003063037502812,6.16046258460276,1.3354488165494858,2.1633230256605382,5.466996661620245,6.947701599817944,8.43252815053499,0.22246123490734046
4,log_acs_proyec_kwh,258,7.793416011182902,7.849791727274708,0.1942978628011357,7.1814398417900644,7.785138848540809,7.908460685998653,8.245673140361667,0.024931026718236837
5,superficie_util,169,52.405325443786985,53.5,10.251813198248845,27.6,46.7,59.5,79.1,0.19562540851397897
5,u_norm_muro_principal,169,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
5,u_norm_muro_secundario,169,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
5,u_norm_techo_principal,169,0.8400000000000001,0.84,1.1135223573806e-16,0.84,0.84,0.84,0.84,1.3256218540245238e-16
5,u_norm_techo_secundario,169,0.8400000000000001,0.84,1.1135223573806e-16,0.84,0.84,0.84,0.84,1.3256218540245238e-16
5,log_calef_proyec_kwh,169,0.00782261817218787,0.0,0.0875560066209569,0.0,0.0,0.0,1.1314021114911006,11.19267292531917
5,log_acs_proyec_kwh,169,7.833678647428484,7.829948556508906,0.1896765383264029,7.1834912804155175,7.728987799305301,7.914617709040679,8.298166155613867,0.024212958797929108
6,superficie_util,123,55.05853658536585,43.6,39.44669141277421,20.8,30.85,57.7,230.0,0.7164500522387448
6,u_norm_muro_principal,123,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
6,u_norm_muro_secundario,123,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
6,u_norm_techo_principal,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,u_norm_techo_secundario,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,log_calef_proyec_kwh,123,7.194393549185419,7.277800441859041,1.2565997191350107,0.0,6.67041671646499,8.037714219201613,9.362219903268402,0.17466374483743505
6,log_acs_proyec_kwh,120,7.617305403272062,7.75394363601637,1.3322865268518573,0.0,7.405208971749643,8.163836578842766,9.228258872478527,0.17490260089605508
7,superficie_util,93,69.19139784946236,70.0,18.41478408846484,42.1,51.6,87.4,111.0,0.26614268046050077
7,u_norm_muro_principal,93,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
7,u_norm_muro_secundario,93,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
7,u_norm_techo_principal,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,u_norm_techo_secundario,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,log_calef_proyec_kwh,93,9.098413849568901,9.313708904953216,0.5859441302548664,7.532730679438749,8.723003384279096,9.504292744941322,9.96211960226338,0.06440069004803836
7,log_acs_proyec_kwh,93,7.954455857451106,8.039963517078762,0.37830179059817703,6.294343066441045,7.783682244666731,8.220725975683184,8.364065321673698,0.04755847507077606
8,superficie_util,80,48.13625,49.8,5.264888322712355,38.7,43.7,51.9,57.2,0.10937470872185422
8,u_norm_muro_principal,80,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
8,u_norm_muro_secundario,80,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
8,u_norm_techo_principal,80,0.5999999999999999,0.6,1.1172276557816554e-16,0.6,0.6,0.6,0.6,1.8620460929694261e-16
8,u_norm_techo_secundario,80,0.5999999999999999,0.6,1.1172276557816554e-16,0.6,0.6,0.6,0.6,1.8620460929694261e-16
8,log_calef_proyec_kwh,80,8.424286497165053,8.365377699984862,0.5931727653613168,6.749579844016261,8.158632222467924,8.801840471661302,9.621986339159427,0.07041222607528029
8,log_acs_proyec_kwh,80,7.994304675745868,8.027117458568844,0.08585193059940592,7.824925623883299,7.9229497261707476,8.058580439097181,8.131795381458184,0.010739136683128222
9,superficie_util,239,50.84602510460251,49.3,12.888949361620826,27.1,43.1,55.0,109.7,0.25348981233253054
9,u_norm_muro_principal,239,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
9,u_norm_muro_secundario,239,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
9,u_norm_techo_principal,239,0.5999999999999996,0.6,3.3376589432088024e-16,0.6,0.6,0.6,0.6,5.562764905348007e-16
9,u_norm_techo_secundario,239,0.5999999999999996,0.6,3.3376589432088024e-16,0.6,0.6,0.6,0.6,5.562764905348007e-16
9,log_calef_proyec_kwh,239,6.335549009566132,7.125765678184599,2.2878802433453664,0.0,6.014627159076457,7.695348628799183,9.00288560554323,0.3611179141524854
9,log_acs_proyec_kwh,239,7.313642104897498,7.875613267712699,2.113309999452029,0.0,7.730218731012139,7.95338864285936,9.814601692527686,0.28895452759943974
10,superficie_util,224,51.034821428571426,49.9,3.8894639749986504,28.2,49.4,53.9,59.9,0.07621196403013504
10,u_norm_muro_principal,224,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
10,u_norm_muro_secundario,224,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0
10,u_norm_techo_principal,224,0.5999999999999999,0.6,1.1127095294746292e-16,0.6,0.6,0.6,0.6,1.8545158824577157e-16
10,u_norm_techo_secundario,224,0.5999999999999999,0.6,1.1127095294746292e-16,0.6,0.6,0.6,0.6,1.8545158824577157e-16
10,log_calef_proyec_kwh,224,8.329364576770814,8.471436722684672,0.6288449704467209,5.577463107977531,8.004304724102626,8.742173016337498,9.668435880147547,0.07549735212701134
10,log_acs_proyec_kwh,224,7.837395054723193,7.822685085216951,0.06422248112641915,7.352184657108443,7.814803429489359,7.882050733142866,7.961230721978717,0.008194365688854179
11,superficie_util,163,51.105521472392645,48.3,8.12108406323875,41.3,47.0,54.5,79.6,0.1589081537427572
11,u_norm_muro_principal,163,1.6999999999999995,1.7,4.454577468687786e-16,1.7,1.7,1.7,1.7,2.6203396874634044e-16
11,u_norm_muro_secundario,163,1.6999999999999995,1.7,4.454577468687786e-16,1.7,1.7,1.7,1.7,2.6203396874634044e-16
11,u_norm_techo_principal,163,0.3799999999999999,0.38,1.1136443671719465e-16,0.38,0.38,0.38,0.38,2.930643071505123e-16
11,u_norm_techo_secundario,163,0.3799999999999999,0.38,1.1136443671719465e-16,0.38,0.38,0.38,0.38,2.930643071505123e-16
11,log_calef_proyec_kwh,163,8.816550473814479,8.92435020078527,0.4498800603361591,7.525154682103808,8.554026144187432,9.12303794831135,9.904861608089272,0.0510267662701327
11,log_acs_proyec_kwh,163,7.889902143376393,7.885592560507808,0.2385239865112168,6.371098895181625,7.838422176800799,7.9976631270201,8.255646592569082,0.03023155194788553
12,superficie_util,223,38.69282511210762,38.6,11.083489165099593,19.1,29.950000000000003,45.4,73.0,0.2864481756756342
12,u_norm_muro_principal,223,1.8973094170403586,1.9,0.023092611257795683,1.7,1.9,1.9,1.9,0.012171241575250385
12,u_norm_muro_secundario,223,1.8973094170403586,1.9,0.023092611257795683,1.7,1.9,1.9,1.9,0.012171241575250385
12,u_norm_techo_principal,223,0.4687892376681613,0.47,0.010391675066008058,0.38,0.47,0.47,0.47,0.022167051269559954
12,u_norm_techo_secundario,223,0.4687892376681613,0.47,0.010391675066008058,0.38,0.47,0.47,0.47,0.022167051269559954
12,log_calef_proyec_kwh,223,6.029468370450327,5.778889947143006,1.1254169976486976,4.3463994570307305,5.053971175982273,6.8958777641028615,8.972045111061213,0.18665277409269215
