cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,calef_proyec_moda,calef_proyec_pct_moda,acs_proyec_moda,acs_proyec_pct_moda,etiqueta_arquetipo_preliminar
-1,4300,43.0,50.5,54.23632558139534,42.7,58.824999999999996,1.9,2.1824655615222976,1.7,1.9,1.9,2.1824655615222976,1.7,1.9,0.47,0.48003969180480965,0.38,0.47,0.47,0.48003969180480965,0.38,0.47,d,55.76744186046512,depto,69.11627906976744,no posee,64.93023255813954,calefont 7 litros tiro forzado,11.093023255813954,ruido / observacion atipica
11,129,1.29,48.0,48.14496124031008,43.9,52.4,1.9,2.0930232558139537,1.9,1.9,1.9,2.0930232558139537,1.9,1.9,0.47,0.4861240310077518,0.47,0.47,0.47,0.4861240310077518,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont 10 litros tiro forzado,93.7984496124031,depto | d | sup_mediana 48 m2 | calef: no posee | acs: calefont 10 litros tiro forzado
12,83,0.83,37.6,37.13132530120482,28.9,40.6,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,sala de calderas,100.0,depto | d | sup_mediana 38 m2 | calef: no posee | acs: sala de calderas
13,78,0.7799999999999999,40.8,40.01153846153847,29.525,45.6,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.46999999999999975,0.47,0.47,0.47,0.46999999999999975,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,caldera condensación,93.58974358974359,depto | d | sup_mediana 41 m2 | calef: no posee | acs: caldera condensación
14,82,0.8200000000000001,54.1,63.52682926829268,49.5,79.425,1.7,1.6658536585365848,1.6,1.7,1.7,1.6658536585365848,1.6,1.7,0.38,0.3629268292682926,0.33,0.38,0.38,0.3629268292682926,0.33,0.38,f,100.0,casa_aislada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_aislada | f | sup_mediana 54 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
15,68,0.6799999999999999,58.3,62.53529411764707,51.3,69.8,1.7,1.673529411764706,1.6,1.7,1.7,1.673529411764706,1.6,1.7,0.38,0.3667647058823528,0.33,0.38,0.38,0.3667647058823528,0.33,0.38,f,100.0,casa_aislada,100.0,no posee,100.0,calefont 10 litros tiro forzado,100.0,casa_aislada | f | sup_mediana 58 m2 | calef: no posee | acs: calefont 10 litros tiro forzado
16,92,0.9199999999999999,44.5,50.15108695652174,44.375,51.6,1.7,1.69891304347826,1.7,1.7,1.7,1.69891304347826,1.7,1.7,0.38,0.3794565217391305,0.38,0.38,0.38,0.3794565217391305,0.38,0.38,f,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | f | sup_mediana 44 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
17,80,0.8,48.7,47.42375,44.8,48.7,1.1,1.1312499999999999,1.1,1.1,1.1,1.1312499999999999,1.1,1.1,0.28,0.28312500000000007,0.28,0.28,0.28,0.28312500000000007,0.28,0.28,g,100.0,casa_aislada,100.0,no posee,100.0,calefont 7 litros,45.0,casa_aislada | g | sup_mediana 49 m2 | calef: no posee | acs: calefont 7 litros
18,73,0.73,39.0,38.60958904109589,28.4,46.2,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,caldera a condensación,98.63013698630137,depto | d | sup_mediana 39 m2 | calef: no posee | acs: caldera a condensación
19,87,0.8699999999999999,41.8,44.331034482758625,41.4,47.7,1.6,1.6264367816091945,1.6,1.7,1.6,1.6264367816091945,1.6,1.7,0.33,0.3432183908045976,0.33,0.38,0.33,0.3432183908045976,0.33,0.38,f,100.0,casa_aislada,100.0,no posee,100.0,calefont glp,100.0,casa_aislada | f | sup_mediana 42 m2 | calef: no posee | acs: calefont glp
20,56,0.5599999999999999,50.3,48.21071428571429,42.7,50.3,1.6,1.4392857142857143,1.1,1.6,1.6,1.4392857142857143,1.1,1.6,0.33,0.31392857142857145,0.28,0.33,0.33,0.31392857142857145,0.28,0.33,g,100.0,casa_aislada,100.0,no posee,100.0,calefont glp,100.0,casa_aislada | g | sup_mediana 50 m2 | calef: no posee | acs: calefont glp
21,116,1.16,48.2,47.331034482758625,46.1,48.3,1.7,1.699999999999999,1.7,1.7,1.7,1.699999999999999,1.7,1.7,0.38,0.38000000000000006,0.38,0.38,0.38,0.38000000000000006,0.38,0.38,e,100.0,casa_aislada,100.0,no posee,100.0,calefont glp,100.0,casa_aislada | e | sup_mediana 48 m2 | calef: no posee | acs: calefont glp
