cluster_hdbscan,variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
9,u_norm_techo_principal,52,0.3799999999999999,0.38,1.1210547252669152e-16,0.38,0.38,0.38,0.38,2.9501440138603037e-16
9,u_norm_techo_secundario,52,0.3799999999999999,0.38,1.1210547252669152e-16,0.38,0.38,0.38,0.38,2.9501440138603037e-16
10,superficie_util,58,60.12758620689656,58.6,9.970144786001931,45.0,53.275,62.0,85.0,0.16581648150143716
10,u_norm_muro_principal,58,1.9000000000000004,1.9,4.479677918737264e-16,1.9,1.9,1.9,1.9,2.3577252203880334e-16
10,u_norm_muro_secundario,58,1.9000000000000004,1.9,4.479677918737264e-16,1.9,1.9,1.9,1.9,2.3577252203880334e-16
10,u_norm_techo_principal,58,0.46999999999999986,0.47,1.119919479684316e-16,0.47,0.47,0.47,0.47,2.382807403583652e-16
10,u_norm_techo_secundario,58,0.46999999999999986,0.47,1.119919479684316e-16,0.47,0.47,0.47,0.47,2.382807403583652e-16
11,superficie_util,129,48.14496124031008,48.0,5.955459171533162,32.2,43.9,52.4,69.5,0.12369849342711416
11,u_norm_muro_principal,129,2.0930232558139537,1.9,0.45037936205763457,1.7,1.9,1.9,3.0,0.21518125076086983
11,u_norm_muro_secundario,129,2.0930232558139537,1.9,0.45037936205763457,1.7,1.9,1.9,3.0,0.21518125076086983
11,u_norm_techo_principal,129,0.4861240310077518,0.47,0.06214034113298728,0.38,0.47,0.47,0.6,0.12782816147592668
11,u_norm_techo_secundario,129,0.4861240310077518,0.47,0.06214034113298728,0.38,0.47,0.47,0.6,0.12782816147592668
12,superficie_util,83,37.13132530120482,37.6,8.740778104991199,22.6,28.9,40.6,57.4,0.23540172708857182
12,u_norm_muro_principal,83,1.9000000000000001,1.9,2.2339443258544005e-16,1.9,1.9,1.9,1.9,1.175760171502316e-16
12,u_norm_muro_secundario,83,1.9000000000000001,1.9,2.2339443258544005e-16,1.9,1.9,1.9,1.9,1.175760171502316e-16
12,u_norm_techo_principal,83,0.4699999999999998,0.47,1.6754582443908003e-16,0.47,0.47,0.47,0.47,3.5648047752995767e-16
12,u_norm_techo_secundario,83,0.4699999999999998,0.47,1.6754582443908003e-16,0.47,0.47,0.47,0.47,3.5648047752995767e-16
13,superficie_util,78,40.01153846153847,40.8,11.64369268834331,25.0,29.525,45.6,97.3,0.29100837248575023
13,u_norm_muro_principal,78,1.9000000000000006,1.9,6.704454055131267e-16,1.9,1.9,1.9,1.9,3.5286600290164555e-16
13,u_norm_muro_secundario,78,1.9000000000000006,1.9,6.704454055131267e-16,1.9,1.9,1.9,1.9,3.5286600290164555e-16
13,u_norm_techo_principal,78,0.46999999999999975,0.47,2.234818018377089e-16,0.47,0.47,0.47,0.47,4.754931953993809e-16
13,u_norm_techo_secundario,78,0.46999999999999975,0.47,2.234818018377089e-16,0.47,0.47,0.47,0.47,4.754931953993809e-16
14,superficie_util,82,63.52682926829268,54.1,18.965120999184286,38.7,49.5,79.425,102.1,0.2985371884230038
14,u_norm_muro_principal,82,1.6658536585365848,1.7,0.04771187236136972,1.6,1.6,1.7,1.7,0.028641094682520633
14,u_norm_muro_secundario,82,1.6658536585365848,1.7,0.04771187236136972,1.6,1.6,1.7,1.7,0.028641094682520633
14,u_norm_techo_principal,82,0.3629268292682926,0.38,0.02385593618068489,0.33,0.33,0.38,0.38,0.06573208221828498
14,u_norm_techo_secundario,82,0.3629268292682926,0.38,0.02385593618068489,0.33,0.33,0.38,0.38,0.06573208221828498
15,superficie_util,68,62.53529411764707,58.3,13.192702242130576,45.3,51.3,69.8,87.2,0.21096410320404455
15,u_norm_muro_principal,68,1.673529411764706,1.7,0.044445663820946925,1.6,1.6,1.7,1.7,0.02655804165047795
15,u_norm_muro_secundario,68,1.673529411764706,1.7,0.044445663820946925,1.6,1.6,1.7,1.7,0.02655804165047795
15,u_norm_techo_principal,68,0.3667647058823528,0.38,0.022222831910473487,0.33,0.33,0.38,0.38,0.060591522450368786
15,u_norm_techo_secundario,68,0.3667647058823528,0.38,0.022222831910473487,0.33,0.33,0.38,0.38,0.060591522450368786
16,superficie_util,92,50.15108695652174,44.5,10.169049082638097,42.6,44.375,51.6,81.7,0.2027682688403964
16,u_norm_muro_principal,92,1.69891304347826,1.7,0.010425720702853723,1.6,1.7,1.7,1.7,0.006136700605646468
16,u_norm_muro_secundario,92,1.69891304347826,1.7,0.010425720702853723,1.6,1.7,1.7,1.7,0.006136700605646468
16,u_norm_techo_principal,92,0.3794565217391305,0.38,0.005212860351426867,0.33,0.38,0.38,0.38,0.013737701298518238
16,u_norm_techo_secundario,92,0.3794565217391305,0.38,0.005212860351426867,0.33,0.38,0.38,0.38,0.013737701298518238
17,superficie_util,80,47.42375,48.7,3.010540291725269,42.6,44.8,48.7,52.8,0.06348170045020204
17,u_norm_muro_principal,80,1.1312499999999999,1.1,0.12179433796155582,1.1,1.1,1.1,1.6,0.1076635031704361
17,u_norm_muro_secundario,80,1.1312499999999999,1.1,0.12179433796155582,1.1,1.1,1.1,1.6,0.1076635031704361
17,u_norm_techo_principal,80,0.28312500000000007,0.28,0.012179433796155577,0.28,0.28,0.28,0.33,0.04301786771269077
17,u_norm_techo_secundario,80,0.28312500000000007,0.28,0.012179433796155577,0.28,0.28,0.28,0.33,0.04301786771269077
18,superficie_util,73,38.60958904109589,39.0,10.251804236647564,19.9,28.4,46.2,63.6,0.26552482145654505
18,u_norm_muro_principal,73,1.9000000000000001,1.9,2.235812641248164e-16,1.9,1.9,1.9,1.9,1.1767434953937705e-16
18,u_norm_muro_secundario,73,1.9000000000000001,1.9,2.235812641248164e-16,1.9,1.9,1.9,1.9,1.1767434953937705e-16
18,u_norm_techo_principal,73,0.46999999999999986,0.47,1.117906320624082e-16,0.47,0.47,0.47,0.47,2.3785240864342176e-16
18,u_norm_techo_secundario,73,0.46999999999999986,0.47,1.117906320624082e-16,0.47,0.47,0.47,0.47,2.3785240864342176e-16
19,superficie_util,87,44.331034482758625,41.8,4.489271716582628,39.2,41.4,47.7,57.5,0.1012670191201744
19,u_norm_muro_principal,87,1.6264367816091945,1.6,0.04435525221237998,1.6,1.6,1.7,1.7,0.027271427155314915
19,u_norm_muro_secundario,87,1.6264367816091945,1.6,0.04435525221237998,1.6,1.6,1.7,1.7,0.027271427155314915
19,u_norm_techo_principal,87,0.3432183908045976,0.33,0.02217762610619001,0.33,0.33,0.38,0.38,0.06461666012185303
19,u_norm_techo_secundario,87,0.3432183908045976,0.33,0.02217762610619001,0.33,0.33,0.38,0.38,0.06461666012185303
20,superficie_util,56,48.21071428571429,50.3,4.023959089410171,42.7,42.7,50.3,58.6,0.08346607489701814
20,u_norm_muro_principal,56,1.4392857142857143,1.6,0.23562572126039322,1.1,1.1,1.6,1.6,0.16371017854320125
20,u_norm_muro_secundario,56,1.4392857142857143,1.6,0.23562572126039322,1.1,1.1,1.6,1.6,0.16371017854320125
20,u_norm_techo_principal,56,0.31392857142857145,0.33,0.023562572126039315,0.28,0.28,0.33,0.33,0.07505711257441419
20,u_norm_techo_secundario,56,0.31392857142857145,0.33,0.023562572126039315,0.28,0.28,0.33,0.33,0.07505711257441419
21,superficie_util,116,47.331034482758625,48.2,2.8448401435368678,43.3,46.1,48.3,61.5,0.060105175697631616
21,u_norm_muro_principal,116,1.699999999999999,1.7,8.920317064243916e-16,1.7,1.7,1.7,1.7,5.247245331908189e-16
21,u_norm_muro_secundario,116,1.699999999999999,1.7,8.920317064243916e-16,1.7,1.7,1.7,1.7,5.247245331908189e-16
21,u_norm_techo_principal,116,0.38000000000000006,0.38,5.575198165152448e-17,0.38,0.38,0.38,0.38,1.4671574118822228e-16
21,u_norm_techo_secundario,116,0.38000000000000006,0.38,5.575198165152448e-17,0.38,0.38,0.38,0.38,1.4671574118822228e-16
22,superficie_util,93,47.902150537634405,52.2,8.420200587492786,29.5,43.9,52.2,66.0,0.1757791767799118
22,u_norm_muro_principal,93,1.487096774193548,1.6,0.21018925553332876,1.1,1.6,1.6,1.6,0.14134201565147925
22,u_norm_muro_secundario,93,1.487096774193548,1.6,0.21018925553332876,1.1,1.6,1.6,1.6,0.14134201565147925
22,u_norm_techo_principal,93,0.31870967741935485,0.33,0.021018925553332873,0.28,0.33,0.33,0.33,0.06595007005600395
22,u_norm_techo_secundario,93,0.31870967741935485,0.33,0.021018925553332873,0.28,0.33,0.33,0.33,0.06595007005600395
23,superficie_util,81,50.58395061728395,50.2,1.045042677372971,49.8,49.8,52.2,52.3,0.020659570172360007
23,u_norm_muro_principal,81,1.353086419753086,1.6,0.2515384760593727,1.1,1.1,1.6,1.6,0.18589978613877
23,u_norm_muro_secundario,81,1.353086419753086,1.6,0.2515384760593727,1.1,1.1,1.6,1.6,0.18589978613877
23,u_norm_techo_principal,81,0.3053086419753087,0.33,0.025153847605937262,0.28,0.28,0.33,0.33,0.08238825944524536
23,u_norm_techo_secundario,81,0.3053086419753087,0.33,0.025153847605937262,0.28,0.28,0.33,0.33,0.08238825944524536
24,superficie_util,92,54.12065217391304,53.7,4.652720769507473,32.6,53.4,57.7,58.2,0.08596941431075648
24,u_norm_muro_principal,92,1.7391304347826078,1.7,0.0797751258970915,1.7,1.7,1.7,1.9,0.045870697390827636
24,u_norm_muro_secundario,92,1.7391304347826078,1.7,0.0797751258970915,1.7,1.7,1.7,1.9,0.045870697390827636
24,u_norm_techo_principal,92,0.397608695652174,0.38,0.03589880665369116,0.38,0.38,0.38,0.47,0.09028677452541242
24,u_norm_techo_secundario,92,0.397608695652174,0.38,0.03589880665369116,0.38,0.38,0.38,0.47,0.09028677452541242
25,superficie_util,57,48.457894736842114,48.3,5.128559647713028,44.1,44.3,53.3,64.0,0.10583537884929675
25,u_norm_muro_principal,57,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
25,u_norm_muro_secundario,57,1.7,1.7,0.0,1.7,1.7,1.7,1.7,0.0
25,u_norm_techo_principal,57,0.37999999999999995,0.38,5.600459339071406e-17,0.38,0.38,0.38,0.38,1.4738050892293177e-16
25,u_norm_techo_secundario,57,0.37999999999999995,0.38,5.600459339071406e-17,0.38,0.38,0.38,0.38,1.4738050892293177e-16
26,superficie_util,56,51.973214285714285,54.0,3.219965616497879,46.1,51.7,54.0,55.7,0.0619543289894799
26,u_norm_muro_principal,56,1.6339285714285714,1.6,0.04777517694857369,1.6,1.6,1.7,1.7,0.029239452558689906
26,u_norm_muro_secundario,56,1.6339285714285714,1.6,0.04777517694857369,1.6,1.6,1.7,1.7,0.029239452558689906
26,u_norm_techo_principal,56,0.3469642857142857,0.33,0.02388758847428687,0.33,0.33,0.38,0.38,0.06884739858775424
