cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
11,acs_proyec,calefont 10 litros tiro forzado,121,93.7984496124031,6
11,acs_proyec,"calefont 10 litros tiro forzado, gas natural",4,3.10077519379845,6
11,acs_proyec,calefont gas licuado,1,0.7751937984496124,6
11,acs_proyec,calefont tiro forzado 13 litros,1,0.7751937984496124,6
11,acs_proyec,calefont tiro forzado 12 litros,1,0.7751937984496124,6
11,acs_proyec,el edificio cuenta con 2 bombas de calor midea rsj800 y un,1,0.7751937984496124,6
12,zona_termica,d,83,100.0,1
12,tipo_inmueble,depto,83,100.0,1
12,calef_proyec,no posee,83,100.0,1
12,acs_proyec,sala de calderas,83,100.0,1
13,zona_termica,d,78,100.0,1
13,tipo_inmueble,depto,78,100.0,1
13,calef_proyec,no posee,78,100.0,1
13,acs_proyec,caldera condensación,73,93.58974358974359,2
13,acs_proyec,calderas de condensación,5,6.41025641025641,2
14,zona_termica,f,82,100.0,1
14,tipo_inmueble,casa_aislada,82,100.0,1
14,calef_proyec,no posee,82,100.0,1
14,acs_proyec,calefont 7 litros tiro forzado,82,100.0,1
15,zona_termica,f,68,100.0,1
15,tipo_inmueble,casa_aislada,68,100.0,1
15,calef_proyec,no posee,68,100.0,1
15,acs_proyec,calefont 10 litros tiro forzado,68,100.0,1
16,zona_termica,f,92,100.0,1
16,tipo_inmueble,casa_pareada,92,100.0,1
16,calef_proyec,no posee,92,100.0,1
16,acs_proyec,calefont 7 litros tiro forzado,92,100.0,1
17,zona_termica,g,80,100.0,1
17,tipo_inmueble,casa_aislada,80,100.0,1
17,calef_proyec,no posee,80,100.0,1
17,acs_proyec,calefont 7 litros,36,45.0,3
17,acs_proyec,calefon,32,40.0,3
17,acs_proyec,calefont 10 litros tiro forzado,12,15.0,3
18,zona_termica,d,73,100.0,1
18,tipo_inmueble,depto,73,100.0,1
18,calef_proyec,no posee,73,100.0,1
18,acs_proyec,caldera a condensación,72,98.63013698630137,2
18,acs_proyec,termo eléctrico marca winter 80 litros.,1,1.36986301369863,2
19,zona_termica,f,87,100.0,1
19,tipo_inmueble,casa_aislada,87,100.0,1
19,calef_proyec,no posee,87,100.0,1
19,acs_proyec,calefont glp,87,100.0,1
20,zona_termica,g,56,100.0,1
20,tipo_inmueble,casa_aislada,56,100.0,1
20,calef_proyec,no posee,56,100.0,1
20,acs_proyec,calefont glp,56,100.0,1
21,zona_termica,e,116,100.0,1
21,tipo_inmueble,casa_aislada,116,100.0,1
21,calef_proyec,no posee,116,100.0,1
21,acs_proyec,calefont glp,116,100.0,1
22,zona_termica,g,93,100.0,1
22,tipo_inmueble,depto,93,100.0,1
22,calef_proyec,no posee,93,100.0,1
22,acs_proyec,calefont 7 litros tiro forzado,93,100.0,1
23,zona_termica,g,81,100.0,1
23,tipo_inmueble,depto,81,100.0,1
23,calef_proyec,no posee,81,100.0,1
23,acs_proyec,calefont 10 litros tiro forzado,81,100.0,1
24,zona_termica,d,92,100.0,1
24,tipo_inmueble,depto,92,100.0,1
24,calef_proyec,no posee,92,100.0,1
24,acs_proyec,calefont tiro forzado,92,100.0,1
25,zona_termica,e,57,100.0,1
25,tipo_inmueble,casa_pareada,57,100.0,1
25,calef_proyec,no posee,57,100.0,1
25,acs_proyec,calefont glp,57,100.0,1
26,zona_termica,f,56,100.0,1
26,tipo_inmueble,casa_pareada,56,100.0,1
26,calef_proyec,no aplica,56,100.0,1
26,acs_proyec,calefont glp,56,100.0,1
27,zona_termica,f,134,100.0,1
