cluster_hdbscan,n,silhouette_media,silhouette_mediana,silhouette_min,silhouette_p25,silhouette_p75,silhouette_max,pct_silhouette_negativo
16,92,0.9645361943310096,0.9728867903309836,0.8035003757662229,0.9712971342611388,0.9763610080936473,0.9763610080936473,0.0
17,80,0.45976908369926883,0.5038434932983016,0.1141220158371531,0.5038434932983016,0.5384914484785551,0.5430395288450337,0.0
18,73,0.934119670425291,0.9496185806572944,-0.032916415862157475,0.9437054657161064,0.9573544152320198,0.9586007169332811,1.36986301369863
19,87,0.9195844415886671,0.9433042422588808,0.8283998940210537,0.8537258997158405,0.9473611281880555,0.9475336329169722,0.0
20,56,0.8133432318663686,0.8645485508041731,0.7077732482892398,0.7077732482892398,0.8645485508041731,0.8645485508041731,0.0
21,116,0.9908391494762265,0.992984819690027,0.9535894375268229,0.992261980469166,0.99377226337014,0.9937724827340915,0.0
22,93,0.8417952682091814,0.8815956243133242,0.6944694465942769,0.8515619058496037,0.8876765656047111,0.8876765656047111,0.0
23,81,0.825285735789339,0.8122762731032497,0.8092330858675872,0.8122284459565654,0.840100959921928,0.840100959921928,0.0
24,92,0.8808952604301372,0.9236137013086483,0.6589789707083603,0.9228638884439636,0.9249627039698946,0.9251218242249389,0.0
25,57,0.9821596717747176,0.9856165767763334,0.9491869002336931,0.978811524628294,0.9856165767763334,0.9862630339363925,0.0
26,56,0.916615618264691,0.942197181733543,0.862976656312074,0.875022940859478,0.942197181733543,0.942197181733543,0.0
27,134,0.9652672815176105,0.9790148983415196,0.8297000138452475,0.978180452309413,0.979114176561372,0.979114176561372,0.0
28,129,0.8755965625024382,0.9195852976273159,-0.0413915882755239,0.9098681650072207,0.9230157531467239,0.9258564798275714,3.875968992248062
29,63,0.9075389731345265,0.9241210991070257,0.8796312814918859,0.8806189241260173,0.9258158777064174,0.9258158777064174,0.0
30,60,0.706184039657823,0.8292638782002602,0.0027951978475505416,0.8195263804698875,0.8298387759809872,0.8321824983110596,0.0
31,53,0.8884339989710014,0.9052945717018996,0.7332027845116434,0.8804565262616079,0.9224852979251438,0.9243434214234371,0.0
32,78,0.8666040727988923,0.8864917616691986,0.6339239727255238,0.8559571467802691,0.901458903218387,0.9047579063674243,0.0
33,192,0.5492616804279987,0.6912268350884208,-0.19203586850676338,0.554575237613669,0.6975593431274792,0.7066622802756929,13.020833333333334
34,60,0.9834597616436329,0.9905480307289432,0.9325977137437549,0.9791982603841964,0.9905480307289432,0.9905480307289432,0.0
35,61,0.647427888232724,0.6853725836006884,-0.3363364480849358,0.6825619557730666,0.7016689061726155,0.7016689061726155,1.639344262295082
36,107,0.7450762213873081,0.8190281933116043,0.4831424165045398,0.6345044058541752,0.8227357896639026,0.8232489369344596,0.0
37,76,0.9927992006343934,0.9959062483049845,0.9714450992700262,0.9945795038156781,0.9959062483049845,0.9959062483049845,0.0
